club_logo,number,position,name,image,birthdate,nationality_names,nationality_images,height,best_foot,market_value
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,94,Goalkeeper,Ivan Provedel,https://img.a.transfermarkt.technology/portrait/medium/197929-1695160944.jpg?lm=1,"Mar 17, 1994 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,94m",right,€7.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,59,Goalkeeper,Davide Renzetti,https://img.a.transfermarkt.technology/portrait/medium/918957-1726131865.jpg?lm=1,"Jun 9, 2006 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,94m",right,€100k
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,34,Defender,Mario Gila,https://img.a.transfermarkt.technology/portrait/medium/618341-1730127774.jpg?lm=1,"Aug 29, 2000 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,85m",right,€28.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,2,Defender,Samuel Gigot,https://img.a.transfermarkt.technology/portrait/medium/276896-1703066101.jpg?lm=1,"Oct 12, 1993 ",France,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,"1,87m",right,€4.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,25,Defender,Oliver Provstgaard,https://img.a.transfermarkt.technology/portrait/medium/644408-1739282123.jpg?lm=1,"Jun 4, 2003 ",Denmark,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,"1,94m",left,€3.50m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,30,Defender,Nuno Tavares,https://img.a.transfermarkt.technology/portrait/medium/535955-1730127360.jpg?lm=1,"Jan 26, 2000 ","Portugal, Cape Verde","https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/32.png?lm=1520611569","1,83m",left,€25.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,77,Defender,Adam Marusic,https://img.a.transfermarkt.technology/portrait/medium/239802-1692962856.jpg?lm=1,"Oct 17, 1992 ","Montenegro, Serbia","https://tmssl.akamaized.net//images/flagge/verysmall/216.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1520611569","1,85m",right,€4.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,6,Midfield,Nicolò Rovella,https://img.a.transfermarkt.technology/portrait/medium/525704-1730127184.jpg?lm=1,"Dec 4, 2001 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,79m",right,€28.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,8,Midfield,Mattéo Guendouzi,https://img.a.transfermarkt.technology/portrait/medium/465830-1730125468.jpg?lm=1,"Apr 14, 1999 ","France, Morocco","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1520611569","1,85m",right,€32.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,26,Midfield,Toma Bašić,https://img.a.transfermarkt.technology/portrait/medium/334835-1695026432.jpg?lm=1,"Nov 25, 1996 ",Croatia,https://tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1520611569,"1,90m",left,€1.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,7,Midfield,Fisayo Dele-Bashiru,https://img.a.transfermarkt.technology/portrait/medium/530742-1683029896.jpg?lm=1,"Feb 6, 2001 ","Nigeria, England","https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","1,86m",right,€8.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,-,Midfield,Cristo Muñoz,https://img.a.transfermarkt.technology/portrait/medium/834468-1699372288.jpg?lm=1,"Feb 1, 2005 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,79m",right,€250k
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,10,Attack,Mattia Zaccagni,https://img.a.transfermarkt.technology/portrait/medium/283735-1695026445.jpg?lm=1,"Jun 16, 1995 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,77m",right,€20.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,14,Attack,Tijjani Noslin,https://img.a.transfermarkt.technology/portrait/medium/457736-1730184958.jpg?lm=1,"Jul 7, 1999 ",Netherlands,https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569,"1,78m",right,€12.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,9,Attack,Pedro,https://img.a.transfermarkt.technology/portrait/medium/65278-1695027154.jpg?lm=1,"Jul 28, 1987 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,67m",both,€1.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,19,Attack,Boulaye Dia,https://img.a.transfermarkt.technology/portrait/medium/626913-1730127040.jpg?lm=1,"Nov 16, 1996 ","Senegal, France","https://tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569","1,80m",right,€15.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,35,Goalkeeper,Christos Mandas,https://img.a.transfermarkt.technology/portrait/medium/481675-1724268727.jpg?lm=1,"Sep 17, 2001 ",Greece,https://tmssl.akamaized.net//images/flagge/verysmall/56.png?lm=1520611569,"1,89m",right,€5.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,55,Goalkeeper,Alessio Furlanetto,https://img.a.transfermarkt.technology/portrait/medium/538079-1607962464.jpg?lm=1,"Feb 7, 2002 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,91m",,€50k
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,13,Defender,Alessio Romagnoli,https://img.a.transfermarkt.technology/portrait/medium/197747-1730125586.jpg?lm=1,"Jan 12, 1995 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,85m",left,€12.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,4,Defender,Patric,https://img.a.transfermarkt.technology/portrait/medium/126729-1695026786.jpg?lm=1,"Apr 17, 1993 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,84m",right,€4.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,76,Defender,Filipe Bordon,https://img.a.transfermarkt.technology/portrait/medium/1110645-1715640507.jpg?lm=1,"Jun 24, 2005 ","Brazil, Italy","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","1,93m",right,€500k
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,3,Defender,Luca Pellegrini,https://img.a.transfermarkt.technology/portrait/medium/346567-1663065246.jpg?lm=1,"Mar 7, 1999 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,78m",left,€2.50m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,23,Defender,Elseid Hysaj,https://img.a.transfermarkt.technology/portrait/medium/200056-1661350737.jpg?lm=1,"Feb 2, 1994 ",Albania,https://tmssl.akamaized.net//images/flagge/verysmall/3.png?lm=1520611569,"1,82m",right,€2.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,21,Midfield,Reda Belahyane,https://img.a.transfermarkt.technology/portrait/medium/982855-1674921768.jpg?lm=1,"Jun 1, 2004 ","Morocco, France","https://tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569","1,73m",right,€10.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,5,Midfield,Matías Vecino,https://img.a.transfermarkt.technology/portrait/medium/143812-1695026891.jpg?lm=1,"Aug 24, 1991 ","Uruguay, Italy","https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","1,87m",right,€2.50m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,29,Midfield,Manuel Lazzari,https://img.a.transfermarkt.technology/portrait/medium/331401-1707947147.jpg?lm=1,"Nov 29, 1993 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,74m",right,€4.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,27,Midfield,Arijon Ibrahimovic,https://img.a.transfermarkt.technology/portrait/medium/744728-1662650250.jpg?lm=1,"Dec 11, 2005 ","Germany, Kosovo","https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525, https://tmssl.akamaized.net//images/flagge/verysmall/244.png?lm=1520611569","1,76m",right,€4.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,28,Midfield,André Anderson,https://img.a.transfermarkt.technology/portrait/medium/601577-1557500332.jpg?lm=1,"Sep 23, 1999 ","Italy, Brazil","https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569","1,80m",right,€200k
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,18,Attack,Gustav Isaksen,https://img.a.transfermarkt.technology/portrait/medium/462823-1695026324.jpg?lm=1,"Apr 19, 2001 ",Denmark,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,"1,81m",left,€20.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,20,Attack,Loum Tchaouna,https://img.a.transfermarkt.technology/portrait/medium/607226-1695710683.jpg?lm=1,"Sep 8, 2003 ","France, Chad","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/171.png?lm=1520611569","1,80m",left,€10.00m
https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,11,Attack,Taty Castellanos,https://img.a.transfermarkt.technology/portrait/medium/522784-1723926679.jpg?lm=1,"Oct 3, 1998 ",Argentina,https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569,"1,78m",right,€25.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,1,Goalkeeper,Unai Simón,https://img.a.transfermarkt.technology/portrait/medium/262396-1709674901.png?lm=1,"Jun 11, 1997 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,90m",right,€28.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,3,Defender,Dani Vivian,https://img.a.transfermarkt.technology/portrait/medium/524000-1709674998.png?lm=1,"Jul 5, 1999 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,84m",right,€40.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,5,Defender,Yeray Álvarez,https://img.a.transfermarkt.technology/portrait/medium/255488-1709675129.png?lm=1,"Jan 24, 1995 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,82m",right,€7.50m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,32,Defender,Adama Boiro,https://img.a.transfermarkt.technology/portrait/medium/710671-1709677000.png?lm=1,"Jun 22, 2002 ","Spain, Senegal","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1520611569","1,83m",left,€2.50m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,2,Defender,Andoni Gorosabel,https://img.a.transfermarkt.technology/portrait/medium/289255-1739190147.jpeg?lm=1,"Aug 4, 1996 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,74m",right,€5.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,18,Defender,Óscar de Marcos,https://img.a.transfermarkt.technology/portrait/medium/96718-1709675357.png?lm=1,"Apr 14, 1989 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,82m",right,€1.50m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,23,Midfield,Mikel Jauregizar,https://img.a.transfermarkt.technology/portrait/medium/938729-1709675994.png?lm=1,"Nov 13, 2003 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,77m",right,€20.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,16,Midfield,Iñigo Ruiz de Galarreta,https://img.a.transfermarkt.technology/portrait/medium/126751-1709675810.png?lm=1,"Aug 6, 1993 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,75m",right,€4.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,20,Midfield,Unai Gómez,https://img.a.transfermarkt.technology/portrait/medium/834752-1709676122.png?lm=1,"May 25, 2003 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,83m",left,€6.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,10,Attack,Nico Williams,https://img.a.transfermarkt.technology/portrait/medium/709187-1709676169.png?lm=1,"Jul 12, 2002 ","Spain, Ghana","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1520611569","1,81m",right,€70.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,11,Attack,Álvaro Djaló,https://img.a.transfermarkt.technology/portrait/medium/671649-1732115086.jpg?lm=1,"Aug 16, 1999 ","Spain, Guinea-Bissau","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/60.png?lm=1520611569","1,75m",right,€8.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,12,Attack,Gorka Guruzeta,https://img.a.transfermarkt.technology/portrait/medium/340205-1709676375.png?lm=1,"Sep 12, 1996 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,88m",right,€12.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,13,Goalkeeper,Julen Agirrezabala,https://img.a.transfermarkt.technology/portrait/medium/625014-1709674945.png?lm=1,"Dec 26, 2000 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,87m",left,€15.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,4,Defender,Aitor Paredes,https://img.a.transfermarkt.technology/portrait/medium/591916-1709675052.png?lm=1,"Apr 29, 2000 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,85m",right,€22.00m
https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,14,Defender,Unai Núñez,https://img.a.transfermarkt.technology/portrait/medium/338285-1620308088.jpg?lm=1,"Jan 30, 1997 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,86m",right,€3.00m
