club_logo,number,position,name,image,birthdate,nationality_names,nationality_images,height,best_foot,market_value
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,1,Goalkeeper,Thibaut Courtois,https://img.a.transfermarkt.technology/portrait/medium/108390-1717280733.jpg?lm=1,"May 11, 1992 ",Belgium,https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569,"2,00m",left,€25.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,26,Goalkeeper,Fran González,https://img.a.transfermarkt.technology/portrait/medium/1055220-1704358404.jpg?lm=1,"Jun 24, 2005 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,99m",right,€400k
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,35,Defender,Raúl Asencio,https://img.a.transfermarkt.technology/portrait/medium/935245-1731168094.jpg?lm=1,"Feb 13, 2003 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,84m",right,€30.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,4,Defender,David Alaba,https://img.a.transfermarkt.technology/portrait/medium/59016-1684921582.jpeg?lm=1,"Jun 24, 1992 ",Austria,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,"1,80m",left,€10.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,23,Defender,Ferland Mendy,https://img.a.transfermarkt.technology/portrait/medium/291417-1701294025.jpg?lm=1,"Jun 8, 1995 ","France, Senegal","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1520611569","1,80m",left,€18.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,2,Defender,Daniel Carvajal,https://img.a.transfermarkt.technology/portrait/medium/138927-1721026790.jpg?lm=1,"Jan 11, 1992 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,73m",right,€10.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,14,Midfield,Aurélien Tchouaméni,https://img.a.transfermarkt.technology/portrait/medium/413112-1668500754.jpg?lm=1,"Jan 27, 2000 ","France, Cameroon","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/31.png?lm=1520611569","1,88m",right,€80.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,6,Midfield,Eduardo Camavinga,https://img.a.transfermarkt.technology/portrait/medium/640428-1668500874.jpg?lm=1,"Nov 10, 2002 ","France, DR Congo","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1520611569","1,82m",left,€70.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,10,Midfield,Luka Modrić,https://img.a.transfermarkt.technology/portrait/medium/27992-1687776160.jpg?lm=1,"Sep 9, 1985 ",Croatia,https://tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1520611569,"1,72m",right,€5.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,7,Attack,Vinicius Junior,https://img.a.transfermarkt.technology/portrait/medium/371998-1664869583.jpg?lm=1,"Jul 12, 2000 ","Brazil, Spain","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569","1,76m",right,€200.00m
https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,15,Attack,Arda Güler,https://img.a.transfermarkt.technology/portrait/medium/861410-1699472585.jpg?lm=1,"Feb 25, 2005 ",Türkiye,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,75m",left,€45.00m
