club_logo,number,position,name,image,birthdate,nationality_names,nationality_images,height,best_foot,market_value
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,1,Goalkeeper,Franco Israel,https://img.a.transfermarkt.technology/portrait/medium/492319-1666100418.jpg?lm=1,"Apr 22, 2000 ","Uruguay, Italy","https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","1,90m",right,€6.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,51,Goalkeeper,Diogo Pinto,https://img.a.transfermarkt.technology/portrait/medium/670711-1689275244.jpg?lm=1,"Jun 18, 2004 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,94m",right,€500k
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,26,Defender,Ousmane Diomande,https://img.a.transfermarkt.technology/portrait/medium/974982-1676898824.jpg?lm=1,"Dec 4, 2003 ",Cote d'Ivoire,https://tmssl.akamaized.net//images/flagge/verysmall/38.png?lm=1520611569,"1,90m",right,€40.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,72,Defender,Eduardo Quaresma,https://img.a.transfermarkt.technology/portrait/medium/504073-1595248439.jpg?lm=1,"Mar 2, 2002 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,85m",right,€14.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,11,Defender,Nuno Santos,https://img.a.transfermarkt.technology/portrait/medium/290391-1602775224.jpg?lm=1,"Feb 13, 1995 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,77m",left,€9.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,22,Defender,Iván Fresneda,https://img.a.transfermarkt.technology/portrait/medium/946883-1725523108.jpg?lm=1,"Sep 28, 2004 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,83m",right,€8.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,42,Midfield,Morten Hjulmand,https://img.a.transfermarkt.technology/portrait/medium/461496-1725633200.jpg?lm=1,"Jun 25, 1999 ",Denmark,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,"1,85m",right,€45.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,5,Midfield,Hidemasa Morita,https://img.a.transfermarkt.technology/portrait/medium/524315-1666099446.jpg?lm=1,"May 10, 1995 ",Japan,https://tmssl.akamaized.net//images/flagge/verysmall/77.png?lm=1520611569,"1,77m",right,€15.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,52,Midfield,João Simões,https://img.a.transfermarkt.technology/portrait/medium/958937-1717685071.jpg?lm=1,"Jan 6, 2007 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,78m",left,€6.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,57,Attack,Geovany Quenda,https://img.a.transfermarkt.technology/portrait/medium/1138758-1730207849.jpg?lm=1,"Apr 30, 2007 ","Portugal, Guinea-Bissau","https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/60.png?lm=1520611569","1,72m",left,€45.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,30,Attack,Biel,https://img.a.transfermarkt.technology/portrait/medium/875328-1684595840.jpg?lm=1,"Apr 1, 2001 ",Brazil,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,70m",right,€5.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,21,Attack,Geny Catamo,https://img.a.transfermarkt.technology/portrait/medium/701979-1571749109.jpg?lm=1,"Jan 26, 2001 ",Mozambique,https://tmssl.akamaized.net//images/flagge/verysmall/115.png?lm=1520611569,"1,73m",left,€15.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,19,Attack,Conrad Harder,https://img.a.transfermarkt.technology/portrait/medium/807386-1697191702.jpg?lm=1,"Apr 7, 2005 ",Denmark,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,"1,85m",left,€24.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,24,Goalkeeper,Rui Silva,https://img.a.transfermarkt.technology/portrait/medium/234811-1666770953.jpg?lm=1,"Feb 7, 1994 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,91m",left,€6.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,25,Defender,Gonçalo Inácio,https://img.a.transfermarkt.technology/portrait/medium/549006-1716296254.jpg?lm=1,"Aug 25, 2001 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,86m",left,€45.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,6,Defender,Zeno Debast,https://img.a.transfermarkt.technology/portrait/medium/548193-1725523076.jpg?lm=1,"Oct 24, 2003 ",Belgium,https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569,"1,91m",right,€26.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,3,Defender,Jeremiah St. Juste,https://img.a.transfermarkt.technology/portrait/medium/288253-1666099589.jpg?lm=1,"Oct 19, 1996 ","Netherlands, St. Kitts & Nevis","https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/225.png?lm=1520611569","1,86m",right,€6.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,2,Defender,Matheus Reis,https://img.a.transfermarkt.technology/portrait/medium/379249-1666100890.jpg?lm=1,"Feb 18, 1995 ",Brazil,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,84m",left,€7.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,47,Defender,Ricardo Esgaio,https://img.a.transfermarkt.technology/portrait/medium/139395-1591776235.png?lm=1,"May 16, 1993 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,72m",right,€2.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,73,Midfield,Eduardo Felicíssimo,https://img.a.transfermarkt.technology/portrait/medium/1081566-1717685836.jpg?lm=1,"Jan 8, 2007 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,86m",right,€1.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,23,Midfield,Daniel Bragança,https://img.a.transfermarkt.technology/portrait/medium/461943-1602774752.jpg?lm=1,"May 27, 1999 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,78m",left,€12.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,20,Midfield,Maxi Araújo,https://img.a.transfermarkt.technology/portrait/medium/572675-1720680874.jpg?lm=1,"Feb 15, 2000 ",Uruguay,https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569,"1,79m",left,€14.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,8,Attack,Pedro Gonçalves,https://img.a.transfermarkt.technology/portrait/medium/426620-1602774745.jpg?lm=1,"Jun 28, 1998 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,73m",right,€30.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,17,Attack,Francisco Trincão,https://img.a.transfermarkt.technology/portrait/medium/412669-1739308729.jpg?lm=1,"Dec 29, 1999 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,84m",left,€30.00m
https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,9,Attack,Viktor Gyökeres,https://img.a.transfermarkt.technology/portrait/medium/325443-1737581896.jpg?lm=1,"Jun 4, 1998 ","Sweden, Hungary","https://tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/178.png?lm=1521635893","1,89m",right,€75.00m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,1,Goalkeeper,Anatoliy Trubin,https://img.a.transfermarkt.technology/portrait/medium/537844-1737497981.jpg?lm=1,"Aug 1, 2001 ",Ukraine,https://tmssl.akamaized.net//images/flagge/verysmall/177.png?lm=1520611569,"1,99m",right,€25.00m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,4,Defender,António Silva,https://img.a.transfermarkt.technology/portrait/medium/650568-1700235534.jpg?lm=1,"Oct 30, 2003 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,87m",right,€32.00m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,81,Defender,Adrian Bajrami,https://img.a.transfermarkt.technology/portrait/medium/582987-1704294917.jpg?lm=1,"Apr 5, 2002 ","Albania, Switzerland","https://tmssl.akamaized.net//images/flagge/verysmall/3.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/148.png?lm=1520611569","1,88m",left,€1.50m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,3,Defender,Álvaro Carreras,https://img.a.transfermarkt.technology/portrait/medium/811778-1737497415.jpg?lm=1,"Mar 23, 2003 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,86m",left,€28.00m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,6,Defender,Alexander Bah,https://img.a.transfermarkt.technology/portrait/medium/452607-1701334276.jpg?lm=1,"Dec 9, 1997 ","Denmark, The Gambia","https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/52.png?lm=1520611569","1,83m",right,€12.00m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,61,Midfield,Florentino,https://img.a.transfermarkt.technology/portrait/medium/357162-1701295561.jpg?lm=1,"Aug 19, 1999 ","Portugal, Angola","https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/6.png?lm=1520611569","1,84m",right,€22.00m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,10,Midfield,Orkun Kökçü,https://img.a.transfermarkt.technology/portrait/medium/454567-1701333892.jpg?lm=1,"Dec 29, 2000 ","Türkiye, Netherlands","https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569","1,75m",both,€28.00m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,18,Midfield,Leandro Barreiro,https://img.a.transfermarkt.technology/portrait/medium/357233-1692000330.jpg?lm=1,"Jan 3, 2000 ","Luxembourg, Portugal","https://tmssl.akamaized.net//images/flagge/verysmall/99.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569","1,74m",right,€15.00m
https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,84,Midfield,João Rego,https://img.a.transfermarkt.technology/portrait/medium/931415-1704294547.jpg?lm=1,"Jun 20, 2005 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,82m",right,€3.00m
