club_logo,number,position,name,image,birthdate,nationality_names,nationality_images,height,best_foot,market_value
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,31,Goalkeeper,Ederson,https://img.a.transfermarkt.technology/portrait/medium/238223-1713391842.jpg?lm=1,"Aug 17, 1993 ","Brazil, Portugal","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569","1,88m",left,€25.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,33,Goalkeeper,Scott Carson,https://img.a.transfermarkt.technology/portrait/medium/14555-1666733622.jpg?lm=1,"Sep 3, 1985 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,88m",right,€200k
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,45,Defender,Abdukodir Khusanov,https://img.a.transfermarkt.technology/portrait/medium/763079-1740493347.jpg?lm=1,"Feb 29, 2004 ",Uzbekistan,https://tmssl.akamaized.net//images/flagge/verysmall/180.png?lm=1520611569,"1,86m",right,€35.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,25,Defender,Manuel Akanji,https://img.a.transfermarkt.technology/portrait/medium/284730-1684165752.jpg?lm=1,"Jul 19, 1995 ","Switzerland, Nigeria","https://tmssl.akamaized.net//images/flagge/verysmall/148.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569","1,88m",right,€32.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,22,Defender,Vitor Reis,https://img.a.transfermarkt.technology/portrait/medium/1005575-1680449774.jpg?lm=1,"Jan 12, 2006 ",Brazil,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,86m",right,€30.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,82,Defender,Rico Lewis,https://img.a.transfermarkt.technology/portrait/medium/701057-1684856684.jpg?lm=1,"Nov 21, 2004 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,70m",right,€40.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,14,Midfield,Nico González,https://img.a.transfermarkt.technology/portrait/medium/466805-1743669968.jpg?lm=1,"Jan 3, 2002 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,88m",right,€40.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,8,Midfield,Mateo Kovacic,https://img.a.transfermarkt.technology/portrait/medium/51471-1682668192.jpg?lm=1,"May 6, 1994 ",Croatia,https://tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1520611569,"1,77m",right,€25.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,20,Midfield,Bernardo Silva,https://img.a.transfermarkt.technology/portrait/medium/241641-1684311533.jpg?lm=1,"Aug 10, 1994 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,73m",left,€45.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,30,Midfield,Claudio Echeverri,https://img.a.transfermarkt.technology/portrait/medium/994536-1694001438.png?lm=1,"Jan 2, 2006 ",Argentina,https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569,"1,70m",right,€18.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,75,Midfield,Nico O'Reilly,https://img.a.transfermarkt.technology/portrait/medium/743413-1709112684.jpg?lm=1,"Mar 21, 2005 ","England, Jamaica","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/76.png?lm=1520611569","1,93m",left,€7.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,10,Attack,Jack Grealish,https://img.a.transfermarkt.technology/portrait/medium/203460-1676499047.jpg?lm=1,"Sep 10, 1995 ","England, Ireland","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1520611569","1,80m",right,€35.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,26,Attack,Savinho,https://img.a.transfermarkt.technology/portrait/medium/743591-1719653229.jpg?lm=1,"Apr 10, 2004 ",Brazil,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,76m",left,€55.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,9,Attack,Erling Haaland,https://img.a.transfermarkt.technology/portrait/medium/418560-1709108116.png?lm=1,"Jul 21, 2000 ",Norway,https://tmssl.akamaized.net//images/flagge/verysmall/125.png?lm=1520611569,"1,95m",left,€200.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,18,Goalkeeper,Stefan Ortega,https://img.a.transfermarkt.technology/portrait/medium/85941-1668065114.jpg?lm=1,"Nov 6, 1992 ","Germany, Spain","https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525, https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569","1,85m",right,€9.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,3,Defender,Rúben Dias,https://img.a.transfermarkt.technology/portrait/medium/258004-1684921271.jpg?lm=1,"May 14, 1997 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,87m",right,€70.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,6,Defender,Nathan Aké,https://img.a.transfermarkt.technology/portrait/medium/177476-1666733797.jpg?lm=1,"Feb 18, 1995 ","Netherlands, Cote d'Ivoire","https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/38.png?lm=1520611569","1,80m",left,€32.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,5,Defender,John Stones,https://img.a.transfermarkt.technology/portrait/medium/186590-1684764261.jpg?lm=1,"May 28, 1994 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,88m",right,€30.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,24,Defender,Josko Gvardiol,https://img.a.transfermarkt.technology/portrait/medium/475959-1713391602.jpg?lm=1,"Jan 23, 2002 ",Croatia,https://tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1520611569,"1,85m",left,€75.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,16,Midfield,Rodri,https://img.a.transfermarkt.technology/portrait/medium/357565-1682587890.jpg?lm=1,"Jun 22, 1996 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,91m",right,€130.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,27,Midfield,Matheus Nunes,https://img.a.transfermarkt.technology/portrait/medium/601883-1693561106.jpg?lm=1,"Aug 27, 1998 ","Portugal, Brazil","https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569","1,83m",right,€35.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,19,Midfield,İlkay Gündoğan,https://img.a.transfermarkt.technology/portrait/medium/53622-1689683568.jpg?lm=1,"Oct 24, 1990 ",Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,"1,80m",right,€7.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,17,Midfield,Kevin De Bruyne,https://img.a.transfermarkt.technology/portrait/medium/88755-1713391485.jpg?lm=1,"Jun 28, 1991 ",Belgium,https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569,"1,81m",right,€27.00m
https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,87,Midfield,James McAtee,https://img.a.transfermarkt.technology/portrait/medium/583199-1692364836.jpg?lm=1,"Oct 18, 2002 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,80m",left,€18.00m
