club_logo,number,position,name,image,birthdate,nationality_names,nationality_images,height,best_foot,market_value
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,1,Goalkeeper,Alisson,https://img.a.transfermarkt.technology/portrait/medium/105470-1668522221.jpg?lm=1,"Oct 2, 1992 ",Brazil,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,93m",right,€25.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,56,Goalkeeper,Vitezslav Jaros,https://img.a.transfermarkt.technology/portrait/medium/486604-1696603392.jpg?lm=1,"Jul 23, 2001 ",Czech Republic,https://tmssl.akamaized.net//images/flagge/verysmall/172.png?lm=1520611569,"1,90m",right,€5.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,5,Defender,Ibrahima Konaté,https://img.a.transfermarkt.technology/portrait/medium/357119-1669190550.jpg?lm=1,"May 25, 1999 ","France, Mali","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/105.png?lm=1520611569","1,94m",right,€60.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,2,Defender,Joe Gomez,https://img.a.transfermarkt.technology/portrait/medium/256178-1746645094.jpg?lm=1,"May 23, 1997 ","England, The Gambia","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/52.png?lm=1520611569","1,88m",right,€25.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,21,Defender,Konstantinos Tsimikas,https://img.a.transfermarkt.technology/portrait/medium/338070-1682088468.jpg?lm=1,"May 12, 1996 ",Greece,https://tmssl.akamaized.net//images/flagge/verysmall/56.png?lm=1520611569,"1,79m",left,€20.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,66,Defender,Trent Alexander-Arnold,https://img.a.transfermarkt.technology/portrait/medium/314353-1701680958.jpg?lm=1,"Oct 7, 1998 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,75m",right,€75.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,38,Midfield,Ryan Gravenberch,https://img.a.transfermarkt.technology/portrait/medium/478573-1718097194.jpg?lm=1,"May 16, 2002 ","Netherlands, Suriname","https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/161.png?lm=1520611569","1,90m",right,€70.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,80,Midfield,Tyler Morton,https://img.a.transfermarkt.technology/portrait/medium/618494-1719220555.jpg?lm=1,"Oct 31, 2002 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,85m",right,€8.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,17,Midfield,Curtis Jones,https://img.a.transfermarkt.technology/portrait/medium/433188-1701681163.jpg?lm=1,"Jan 30, 2001 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,85m",right,€50.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,19,Midfield,Harvey Elliott,https://img.a.transfermarkt.technology/portrait/medium/565822-1665128076.jpg?lm=1,"Apr 4, 2003 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,70m",left,€35.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,18,Attack,Cody Gakpo,https://img.a.transfermarkt.technology/portrait/medium/434675-1682690965.jpg?lm=1,"May 7, 1999 ","Netherlands, Togo","https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/168.png?lm=1520611569","1,93m",right,€70.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,14,Attack,Federico Chiesa,https://img.a.transfermarkt.technology/portrait/medium/341092-1663576975.jpg?lm=1,"Oct 25, 1997 ",Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,75m",right,€18.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,20,Attack,Diogo Jota,https://img.a.transfermarkt.technology/portrait/medium/340950-1716296423.jpg?lm=1,"Dec 4, 1996 ",Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,78m",right,€45.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,62,Goalkeeper,Caoimhín Kelleher,https://img.a.transfermarkt.technology/portrait/medium/340918-1708933663.jpg?lm=1,"Nov 23, 1998 ",Ireland,https://tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1520611569,"1,88m",right,€22.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,95,Goalkeeper,Harvey Davies,https://img.a.transfermarkt.technology/portrait/medium/706815-1633426221.jpg?lm=1,"Sep 3, 2003 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,90m",left,€500k
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,4,Defender,Virgil van Dijk,https://img.a.transfermarkt.technology/portrait/medium/139208-1702049837.jpg?lm=1,"Jul 8, 1991 ","Netherlands, Suriname","https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/161.png?lm=1520611569","1,95m",right,€28.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,78,Defender,Jarell Quansah,https://img.a.transfermarkt.technology/portrait/medium/632349-1633426240.jpg?lm=1,"Jan 29, 2003 ","England, Scotland","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1520611569","1,90m",right,€22.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,26,Defender,Andrew Robertson,https://img.a.transfermarkt.technology/portrait/medium/234803-1709147379.jpg?lm=1,"Mar 11, 1994 ",Scotland,https://tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1520611569,"1,78m",left,€20.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,84,Defender,Conor Bradley,https://img.a.transfermarkt.technology/portrait/medium/624258-1708933100.jpg?lm=1,"Jul 9, 2003 ",Northern Ireland,https://tmssl.akamaized.net//images/flagge/verysmall/192.png?lm=1520611569,"1,81m",right,€25.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,3,Midfield,Wataru Endo,https://img.a.transfermarkt.technology/portrait/medium/146310-1657181542.jpg?lm=1,"Feb 9, 1993 ",Japan,https://tmssl.akamaized.net//images/flagge/verysmall/77.png?lm=1520611569,"1,78m",right,€10.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,10,Midfield,Alexis Mac Allister,https://img.a.transfermarkt.technology/portrait/medium/534033-1669835342.jpg?lm=1,"Dec 24, 1998 ","Argentina, Italy","https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","1,76m",right,€90.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,8,Midfield,Dominik Szoboszlai,https://img.a.transfermarkt.technology/portrait/medium/451276-1700209677.jpg?lm=1,"Oct 25, 2000 ",Hungary,https://tmssl.akamaized.net//images/flagge/verysmall/178.png?lm=1521635893,"1,87m",right,€80.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,7,Attack,Luis Díaz,https://img.a.transfermarkt.technology/portrait/medium/480692-1697903145.jpg?lm=1,"Jan 13, 1997 ",Colombia,https://tmssl.akamaized.net//images/flagge/verysmall/83.png?lm=1520611569,"1,80m",right,€85.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,11,Attack,Mohamed Salah,https://img.a.transfermarkt.technology/portrait/medium/148455-1727337594.jpg?lm=1,"Jun 15, 1992 ",Egypt,https://tmssl.akamaized.net//images/flagge/verysmall/2.png?lm=1520611569,"1,75m",left,€55.00m
https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,9,Attack,Darwin Núñez,https://img.a.transfermarkt.technology/portrait/medium/546543-1681827179.jpg?lm=1,"Jun 24, 1999 ",Uruguay,https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569,"1,87m",right,€50.00m
https://tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548,1,Goalkeeper,Marc-André ter Stegen,https://img.a.transfermarkt.technology/portrait/medium/74857-1674465246.jpg?lm=1,"Apr 30, 1992 ",Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,"1,87m",right,€15.00m
https://tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548,25,Goalkeeper,Wojciech Szczesny,https://img.a.transfermarkt.technology/portrait/medium/44058-1744278078.jpg?lm=1,"Apr 18, 1990 ",Poland,https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,"1,95m",right,€1.00m
https://tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548,4,Defender,Ronald Araujo,https://img.a.transfermarkt.technology/portrait/medium/480267-1736431980.jpg?lm=1,"Mar 7, 1999 ","Uruguay, Spain","https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569","1,92m",right,€50.00m
https://tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548,24,Defender,Eric García,https://img.a.transfermarkt.technology/portrait/medium/466794-1693604801.jpg?lm=1,"Jan 9, 2001 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,82m",right,€15.00m
