club_logo,number,position,name,image,birthdate,nationality_names,nationality_images,height,best_foot,market_value
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,1,Goalkeeper,Robert Sánchez,https://img.a.transfermarkt.technology/portrait/medium/403151-1695028195.jpg?lm=1,"Nov 18, 1997 ","Spain, England","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","1,97m",right,€20.00m
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,13,Goalkeeper,Marcus Bettinelli,https://img.a.transfermarkt.technology/portrait/medium/116648-1700671752.jpg?lm=1,"May 24, 1992 ","England, Italy","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","1,93m",right,€800k
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,6,Defender,Levi Colwill,https://img.a.transfermarkt.technology/portrait/medium/614258-1694614507.jpg?lm=1,"Feb 26, 2003 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,87m",left,€55.00m
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,5,Defender,Benoît Badiashile,https://img.a.transfermarkt.technology/portrait/medium/463603-1714721596.jpg?lm=1,"Mar 26, 2001 ","France, DR Congo","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1520611569","1,94m",left,€25.00m
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,23,Defender,Trevoh Chalobah,https://img.a.transfermarkt.technology/portrait/medium/346314-1698937171.jpg?lm=1,"Jul 5, 1999 ","England, Sierra Leone","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/152.png?lm=1520611569","1,92m",right,€17.00m
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,3,Defender,Marc Cucurella,https://img.a.transfermarkt.technology/portrait/medium/284857-1659559729.jpg?lm=1,"Jul 22, 1998 ",Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"1,73m",left,€30.00m
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,24,Defender,Reece James,https://img.a.transfermarkt.technology/portrait/medium/472423-1683900849.jpg?lm=1,"Dec 8, 1999 ",England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,80m",right,€30.00m
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,25,Midfield,Moisés Caicedo,https://img.a.transfermarkt.technology/portrait/medium/687626-1660729724.jpg?lm=1,"Nov 2, 2001 ",Ecuador,https://tmssl.akamaized.net//images/flagge/verysmall/44.png?lm=1520611569,"1,78m",right,€80.00m
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,8,Midfield,Enzo Fernández,https://img.a.transfermarkt.technology/portrait/medium/648195-1669894717.jpg?lm=1,"Jan 17, 2001 ",Argentina,https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569,"1,78m",right,€75.00m
https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,39,Midfield,Mathis Amougou,https://img.a.transfermarkt.technology/portrait/medium/1010854-1727721658.jpg?lm=1,"Jan 18, 2006 ","France, Cameroon","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569, https://tmssl.akamaized.net//images/flagge/verysmall/31.png?lm=1520611569","1,77m",right,€10.00m
